id,horodatage,value
1,2021-12-21 00:00:00,66.914
2,2021-12-22 00:00:00,73.26
3,2021-12-23 00:00:00,74.357
4,2021-12-24 00:00:00,67.097
5,2021-12-25 00:00:00,51.238
6,2021-12-26 00:00:00,38.717
7,2021-12-27 00:00:00,37.836
8,2021-12-28 00:00:00,49.587
9,2021-12-29 00:00:00,38.373
10,2021-12-30 00:00:00,36.972
11,2021-12-31 00:00:00,32.398
12,2022-01-01 00:00:00,57.939
13,2022-01-02 00:00:00,36.741
14,2022-01-03 00:00:00,47.511
15,2022-01-04 00:00:00,50.031
16,2022-01-05 00:00:00,63.952
17,2022-01-06 00:00:00,74.378
18,2022-01-07 00:00:00,56.223
19,2022-01-08 00:00:00,58.198
20,2022-01-09 00:00:00,60.547
21,2022-01-10 00:00:00,56.396
22,2022-01-11 00:00:00,55.518
23,2022-01-12 00:00:00,68.387
24,2022-01-13 00:00:00,63.629
25,2022-01-14 00:00:00,58.494
26,2022-01-15 00:00:00,57.298
27,2022-01-16 00:00:00,66.901
28,2022-01-17 00:00:00,33.364
29,2022-01-18 00:00:00,42.632
30,2022-01-19 00:00:00,48.105
31,2022-01-20 00:00:00,48.938
32,2022-01-21 00:00:00,42.221
33,2022-01-22 00:00:00,54.665
34,2022-01-23 00:00:00,64.274
35,2022-01-24 00:00:00,47.73
36,2022-01-25 00:00:00,63.406
37,2022-01-26 00:00:00,71.555
38,2022-01-27 00:00:00,60.599
39,2022-01-28 00:00:00,52.076
40,2022-01-29 00:00:00,53.735
41,2022-01-30 00:00:00,58.384
42,2022-01-31 00:00:00,61.482
43,2022-02-01 00:00:00,63.227
44,2022-02-02 00:00:00,59.981
45,2022-02-03 00:00:00,55.283
46,2022-02-04 00:00:00,56.584
47,2022-02-05 00:00:00,58.038
48,2022-02-06 00:00:00,60.169
49,2022-02-07 00:00:00,59.424
50,2022-02-08 00:00:00,61.764
51,2022-02-09 00:00:00,66.623
52,2022-02-10 00:00:00,71.098
53,2022-02-11 00:00:00,58.295
54,2022-02-12 00:00:00,34.043
55,2022-02-13 00:00:00,10.285
56,2022-02-14 00:00:00,9.985
57,2022-02-15 00:00:00,9.866
58,2022-02-16 00:00:00,10.126
59,2022-02-17 00:00:00,9.65
60,2022-02-18 00:00:00,9.87
61,2022-02-19 00:00:00,65.041
62,2022-02-20 00:00:00,56.3
63,2022-02-21 00:00:00,53.211
64,2022-02-22 00:00:00,49.038
65,2022-02-23 00:00:00,45.711
66,2022-02-24 00:00:00,54.495
67,2022-02-25 00:00:00,63.885
68,2022-02-26 00:00:00,54.238
69,2022-02-27 00:00:00,56.969
70,2022-02-28 00:00:00,60.683
71,2022-03-01 00:00:00,42.628
72,2022-03-02 00:00:00,34.537
73,2022-03-03 00:00:00,44.281
74,2022-03-04 00:00:00,40.118
75,2022-03-05 00:00:00,50.214
76,2022-03-06 00:00:00,50.626
77,2022-03-07 00:00:00,57.032
78,2022-03-08 00:00:00,52.629
79,2022-03-09 00:00:00,44.053
80,2022-03-10 00:00:00,37.047
81,2022-03-11 00:00:00,32.471
82,2022-03-12 00:00:00,47.765
83,2022-03-13 00:00:00,53.812
84,2022-03-14 00:00:00,37.164
85,2022-03-15 00:00:00,37.502
86,2022-03-16 00:00:00,32.099
87,2022-03-17 00:00:00,38.058
88,2022-03-18 00:00:00,36.864
89,2022-03-19 00:00:00,54.36
90,2022-03-20 00:00:00,85.128
91,2022-03-21 00:00:00,54.107
92,2022-03-22 00:00:00,45.076
93,2022-03-23 00:00:00,55.826
94,2022-03-24 00:00:00,40.612
95,2022-03-25 00:00:00,43.802
96,2022-03-26 00:00:00,50.984
97,2022-03-27 00:00:00,51.686
98,2022-03-28 00:00:00,37.109
99,2022-03-29 00:00:00,34.386
100,2022-03-30 00:00:00,57.594
101,2022-03-31 00:00:00,57.698
102,2022-04-01 00:00:00,78.722
103,2022-04-02 00:00:00,85.41
104,2022-04-03 00:00:00,69.172
105,2022-04-04 00:00:00,54.904
106,2022-04-05 00:00:00,37.78
107,2022-04-06 00:00:00,48.719
108,2022-04-07 00:00:00,61.318
109,2022-04-08 00:00:00,65.327
110,2022-04-09 00:00:00,63.807
111,2022-04-10 00:00:00,67.605
112,2022-04-11 00:00:00,52.375
113,2022-04-12 00:00:00,38.408
114,2022-04-13 00:00:00,55.451
115,2022-04-14 00:00:00,39.04
116,2022-04-15 00:00:00,45.177
117,2022-04-16 00:00:00,42.363
118,2022-04-17 00:00:00,37.524
119,2022-04-18 00:00:00,51.924
120,2022-04-19 00:00:00,69.839
121,2022-04-20 00:00:00,49.227
122,2022-04-21 00:00:00,46.014
123,2022-04-22 00:00:00,47.727
124,2022-04-23 00:00:00,47.863
125,2022-04-24 00:00:00,40.148
126,2022-04-25 00:00:00,37.373
127,2022-04-26 00:00:00,46.7
128,2022-04-27 00:00:00,48.545
129,2022-04-28 00:00:00,46.744
130,2022-04-29 00:00:00,35.084
131,2022-04-30 00:00:00,42.305
132,2022-05-01 00:00:00,46.729
133,2022-05-02 00:00:00,38.711
134,2022-05-03 00:00:00,35.826
135,2022-05-04 00:00:00,45.272
136,2022-05-05 00:00:00,44.937
137,2022-05-06 00:00:00,41.202
138,2022-05-07 00:00:00,44.523
139,2022-05-08 00:00:00,39.801
140,2022-05-09 00:00:00,35.622
