id,horodatage,volume,energie,pci,text
1,2022-10-18 00:00:00,0.06,0.67,11.17,17
2,2022-10-19 00:00:00,0.05,0.56,11.17,17
3,2022-10-20 00:00:00,0.13,1.45,11.17,17
4,2022-10-21 00:00:00,0.12,1.34,11.17,16
5,2022-10-22 00:00:00,0.19,2.12,11.17,16
6,2022-10-23 00:00:00,0.25,2.79,11.17,17
7,2022-10-24 00:00:00,0.05,0.56,11.17,15
8,2022-10-25 00:00:00,0.22,2.46,11.17,15
9,2022-10-26 00:00:00,0.05,0.56,11.17,17
10,2022-10-27 00:00:00,0.17,1.9,11.17,18
11,2022-10-28 00:00:00,0.05,0.56,11.17,18
12,2022-10-29 00:00:00,0.27,3.02,11.17,17
13,2022-10-30 00:00:00,0.18,2.01,11.17,12
14,2022-10-31 00:00:00,0.98,10.95,11.17,15
15,2022-11-01 00:00:00,0.82,9.16,11.17,13
16,2022-11-02 00:00:00,1.09,12.18,11.17,12
17,2022-11-03 00:00:00,2.84,31.73,11.17,11
18,2022-11-04 00:00:00,4.94,55.2,11.17,8
19,2022-11-05 00:00:00,6.15,68.72,11.17,9
20,2022-11-06 00:00:00,2.87,32.07,11.17,11
21,2022-11-07 00:00:00,0.97,10.84,11.17,13
22,2022-11-08 00:00:00,2.82,31.51,11.17,13
23,2022-11-09 00:00:00,3.92,43.8,11.17,10
24,2022-11-10 00:00:00,5.28,59,11.17,9
25,2022-11-11 00:00:00,4.38,48.94,11.17,9
26,2022-11-12 00:00:00,5,55.87,11.17,9
27,2022-11-13 00:00:00,4.94,55.2,11.17,8
28,2022-11-14 00:00:00,4.97,55.53,11.17,9
29,2022-11-15 00:00:00,6.48,72.4,11.17,10
30,2022-11-16 00:00:00,5.82,65.03,11.17,11
31,2022-11-17 00:00:00,4.52,50.39,11.15,10
32,2022-11-18 00:00:00,4.27,47.6,11.15,8
33,2022-11-19 00:00:00,7.03,78.37,11.15,6
34,2022-11-20 00:00:00,9.32,103.9,11.15,7
35,2022-11-21 00:00:00,11.97,133.44,11.15,6
36,2022-11-22 00:00:00,9.71,108.25,11.15,7
37,2022-11-23 00:00:00,8.06,89.85,11.15,9
38,2022-11-24 00:00:00,7.43,82.83,11.15,9
39,2022-11-25 00:00:00,7.43,82.83,11.15,7
40,2022-11-26 00:00:00,9.97,111.15,11.15,7
41,2022-11-27 00:00:00,7.76,86.51,11.15,8
42,2022-11-28 00:00:00,7.19,80.15,11.15,8
43,2022-11-29 00:00:00,10.74,119.73,11.15,6
44,2022-11-30 00:00:00,11.63,129.65,11.15,5
45,2022-12-01 00:00:00,12.4,138.24,11.15,4
46,2022-12-02 00:00:00,11.57,128.98,11.15,3
47,2022-12-03 00:00:00,15.03,167.55,11.15,2
48,2022-12-04 00:00:00,13.39,149.27,11.15,2
49,2022-12-05 00:00:00,11.63,129.65,11.15,1
50,2022-12-06 00:00:00,11.67,130.1,11.15,1
51,2022-12-07 00:00:00,12.36,137.79,11.15,1
52,2022-12-08 00:00:00,11.62,129.54,11.15,1
53,2022-12-09 00:00:00,12.82,142.92,11.15,0
54,2022-12-10 00:00:00,11.27,125.64,11.15,-1
55,2022-12-11 00:00:00,14.01,156.18,11.15,-2
56,2022-12-12 00:00:00,15.4,171.68,11.15,-3
57,2022-12-13 00:00:00,14.11,157.3,11.15,-2
58,2022-12-14 00:00:00,14.07,156.85,11.15,-1
59,2022-12-15 00:00:00,14.62,162.98,11.15,-2
60,2022-12-16 00:00:00,14.45,161.09,11.15,-2
61,2022-12-17 00:00:00,18.03,201.23,11.16,-4
62,2022-12-18 00:00:00,19.65,219.31,11.16,1
63,2022-12-19 00:00:00,11.62,129.69,11.16,9
64,2022-12-20 00:00:00,11.53,128.69,11.16,10
65,2022-12-21 00:00:00,10.09,112.61,11.16,10
66,2022-12-22 00:00:00,9.37,104.58,11.16,12
67,2022-12-23 00:00:00,6.11,68.19,11.16,12
68,2022-12-24 00:00:00,7.76,86.61,11.16,10
69,2022-12-25 00:00:00,8.53,95.2,11.16,11
70,2022-12-26 00:00:00,8.84,98.66,11.16,6
71,2022-12-27 00:00:00,11.09,123.78,11.16,7
72,2022-12-28 00:00:00,9.59,107.03,11.16,10
73,2022-12-29 00:00:00,7.11,79.35,11.16,8
74,2022-12-30 00:00:00,10.01,111.72,11.16,12
75,2022-12-31 00:00:00,5.4,60.27,11.16,14
76,2023-01-01 00:00:00,7.28,81.25,11.16,12
77,2023-01-02 00:00:00,6.07,67.75,11.16,8
78,2023-01-03 00:00:00,7.54,84.15,11.16,9
79,2023-01-04 00:00:00,5.17,57.7,11.16,12
80,2023-01-05 00:00:00,4.4,49.11,11.16,11
81,2023-01-06 00:00:00,5.49,61.27,11.16,11
82,2023-01-07 00:00:00,9.28,103.57,11.16,9
83,2023-01-08 00:00:00,9.24,103.13,11.16,7
84,2023-01-09 00:00:00,11.93,133.15,11.16,5
85,2023-01-10 00:00:00,8.77,97.88,11.16,9
86,2023-01-11 00:00:00,7.05,78.68,11.16,10
87,2023-01-12 00:00:00,8.73,97.44,11.16,10
88,2023-01-13 00:00:00,8.07,90.07,11.16,8
89,2023-01-14 00:00:00,8.03,89.62,11.16,9
90,2023-01-15 00:00:00,6.97,77.79,11.16,6
91,2023-01-16 00:00:00,12.1,135.05,11.16,3
92,2023-01-17 00:00:00,16.03,181.39,11.32,0
93,2023-01-18 00:00:00,13.53,153.1,11.32,0
94,2023-01-19 00:00:00,12.43,140.65,11.32,0
95,2023-01-20 00:00:00,11.15,126.17,11.32,2
96,2023-01-21 00:00:00,10.66,120.62,11.32,0
97,2023-01-22 00:00:00,11.95,135.22,11.32,0
98,2023-01-23 00:00:00,11.1,125.6,11.32,2
99,2023-01-24 00:00:00,12.13,137.26,11.32,1
100,2023-01-25 00:00:00,11.87,134.31,11.32,0
101,2023-01-26 00:00:00,10.72,121.3,11.32,4
102,2023-01-27 00:00:00,10.92,123.56,11.32,4
103,2023-01-28 00:00:00,10.17,115.08,11.32,1
104,2023-01-29 00:00:00,9.9,112.02,11.32,2
105,2023-01-30 00:00:00,9.73,110.1,11.32,4
