date,temperature_2m_min,temperature_2m_max,temperature_2m_mean
2022-01-01,8.351,13.851,10.942666
2022-01-02,11.051,13.551,12.301
2022-01-03,9.951,12.101,10.928082
2022-01-04,3.401,10.101,7.6843324
2022-01-05,0.201,6.351,2.8655834
2022-01-06,-1.799,6.2009997,2.4426665
2022-01-07,3.951,7.401,5.4885
2022-01-08,2.301,8.801,6.2864165
2022-01-09,3.7510002,6.351,4.930166
2022-01-10,3.651,6.101,5.030166
2022-01-11,1.6010001,5.401,3.4134998
2022-01-12,-0.24900001,5.4509997,3.2030833
2022-01-13,0.551,5.101,2.8530836
2022-01-14,-0.84900004,7.101,1.936417
2022-01-15,-2.299,4.401,0.76558346
2022-01-16,-0.649,6.4509997,3.0572498
2022-01-17,0.40100002,7.8009996,5.1885
2022-01-18,0.40100002,8.451,3.5530834
2022-01-19,-0.34899998,7.9509997,4.4655833
2022-01-20,0.40100002,6.4509997,3.0489166
2022-01-21,-0.199,5.9509997,2.9030836
2022-01-22,2.901,6.5509996,4.328083
2022-01-23,2.851,4.8009996,3.8801663
2022-01-24,-1.799,7.0509996,1.6718334
2022-01-25,-2.049,2.5010002,0.5280834
2022-01-26,0.651,5.401,2.6030831
2022-01-27,2.601,8.101,5.948917
2022-01-28,4.5509996,9.701,6.9135003
2022-01-29,6.851,10.250999,9.178082
2022-01-30,2.801,9.301,7.1301665
2022-01-31,2.401,8.500999,6.2260003
2022-02-01,2.201,10.000999,7.528084
2022-02-02,7.3009996,10.851,9.340583
2022-02-03,4.4509997,9.051,6.967667
2022-02-04,3.301,11.051,6.871834
2022-02-05,2.551,9.401,5.698916
2022-02-06,6.601,10.601,9.159333
2022-02-07,3.2510002,9.601,6.8364177
2022-02-08,5.101,11.651,8.7135
2022-02-09,2.401,11.051,5.696834
2022-02-10,3.101,8.451,6.3030834
2022-02-11,-0.999,8.051,3.6009998
2022-02-12,-1.099,8.451,2.9426663
2022-02-13,-0.048999995,12.051,6.4614162
2022-02-14,5.251,11.451,8.053084
2022-02-15,3.351,9.801,7.105167
2022-02-16,8.951,14.401,12.298916
2022-02-17,8.801,12.851,10.986416
2022-02-18,4.8009996,12.401,9.6135
2022-02-19,2.401,9.551,6.3510003
2022-02-20,7.351,12.451,10.10725
2022-02-21,5.5509996,9.851,7.6030827
2022-02-22,4.751,12.250999,8.790584
2022-02-23,1.5009999,10.601,7.0864167
2022-02-24,3.351,11.151,7.042666
2022-02-25,2.101,9.601,5.2509995
2022-02-26,-1.299,9.351,3.7530832
2022-02-27,-0.399,9.601,3.9718332
2022-02-28,-0.499,12.051,5.146833
2022-03-01,4.2009997,10.000999,7.0864162
2022-03-02,4.851,11.101,7.3093333
2022-03-03,5.9509997,12.250999,8.83225
2022-03-04,6.101,9.301,7.4926667
2022-03-05,5.5509996,8.001,6.9968333
2022-03-06,1.301,8.101,5.1072493
2022-03-07,-1.4990001,6.3009996,2.4135
2022-03-08,-0.69899994,13.250999,5.511417
2022-03-09,4.2009997,14.201,8.525999
2022-03-10,7.351,16.201,11.105167
2022-03-11,8.301,12.601,10.071834
2022-03-12,5.901,12.051,8.965584
2022-03-13,5.601,10.000999,8.171834
2022-03-14,4.151,13.801,8.551002
2022-03-15,7.651,13.000999,9.784332
2022-03-16,7.651,16.801,11.792665
2022-03-17,3.701,12.201,8.3135
2022-03-18,2.651,14.750999,8.196834
2022-03-19,6.0509996,15.401,9.821834
2022-03-20,1.5510001,12.250999,6.796833
2022-03-21,4.151,16.851,10.528085
2022-03-22,5.751,16.601,11.011417
2022-03-23,2.451,17.051,9.5885
2022-03-24,3.651,18.551,11.048917
2022-03-25,5.401,17.801,11.446834
2022-03-26,5.401,18.051,11.503081
2022-03-27,6.351,19.501,12.144752
2022-03-28,4.8009996,20.201,12.603084
2022-03-29,6.851,16.151001,11.213501
2022-03-30,7.7009997,13.301,9.9385
2022-03-31,1.8010001,6.5509996,4.721833
2022-04-01,1.5009999,3.7510002,2.5634997
2022-04-02,-0.449,7.3009996,3.213499
2022-04-03,-1.099,7.751,3.3697498
2022-04-04,-1.1489999,8.401,4.5239167
2022-04-05,7.8009996,13.250999,10.51975
2022-04-06,6.5509996,13.051,10.305167
2022-04-07,7.651,13.401,10.721833
2022-04-08,2.451,8.051,5.08225
2022-04-09,0.651,10.101,5.590584
2022-04-10,-1.9989998,12.801,6.496834
2022-04-11,4.251,17.851,11.382249
2022-04-12,9.951,19.351,13.951001
2022-04-13,8.001,16.001,12.767666
2022-04-14,7.0509996,19.201,13.386416
2022-04-15,8.750999,19.351,13.884335
2022-04-16,7.7009997,18.501,12.767667
2022-04-17,6.001,19.401,12.39475
2022-04-18,5.151,17.451,11.4385
2022-04-19,7.751,15.801,11.265584
2022-04-20,6.151,18.751,12.43225
2022-04-21,6.151,18.851,12.921833
2022-04-22,8.851,17.201,13.18225
2022-04-23,9.051,18.451,12.740585
2022-04-24,9.701,17.101,13.384334
2022-04-25,6.8009996,15.750999,10.932251
2022-04-26,4.9509997,15.401,10.425999
2022-04-27,4.2009997,16.901,11.319749
2022-04-28,6.601,20.001,13.642666
2022-04-29,7.601,18.801,12.855166
2022-04-30,5.3009996,15.500999,10.703084
2022-05-01,5.0509996,16.251,11.20725
2022-05-02,9.401,16.201,12.971833
2022-05-03,7.5509996,17.551,12.709332
2022-05-04,8.851,16.951,12.36975
2022-05-05,8.701,17.951,13.017667
2022-05-06,7.351,20.751,14.123917
2022-05-07,9.500999,19.301,14.086417
2022-05-08,9.451,19.301,14.978084
2022-05-09,8.301,23.601,16.93225
2022-05-10,13.701,25.001,19.257252
2022-05-11,9.801,23.451,16.848915
2022-05-12,9.151,20.001,14.519752
2022-05-13,7.851,19.301,13.917667
2022-05-14,8.051,22.051,15.855167
2022-05-15,14.051,27.401,20.226
2022-05-16,15.151,23.451,19.4385
2022-05-17,12.750999,28.001,21.188501
2022-05-18,13.951,26.251,20.673918
2022-05-19,15.000999,22.201,18.792665
2022-05-20,12.601,18.301,15.576
2022-05-21,10.401,20.201,15.544751
2022-05-22,10.101,22.201,17.242666
2022-05-23,12.301,18.251,15.605165
2022-05-24,9.000999,16.801,12.490582
2022-05-25,7.8009996,17.901,13.719749
2022-05-26,11.851,18.551,15.375999
2022-05-27,9.750999,19.301,14.459334
2022-05-28,9.051,18.801,13.776
2022-05-29,7.251,14.151,11.361416
2022-05-30,7.101,16.801,12.3385
2022-05-31,8.051,18.501,13.526
2022-06-01,6.4509997,20.251,13.611416
2022-06-02,8.901,22.501,16.403082
2022-06-03,12.750999,24.951,17.353085
2022-06-04,13.801,27.301,19.840584
2022-06-05,12.851,22.351,17.161417
2022-06-06,11.500999,19.701,16.076
2022-06-07,14.101,21.651,17.423916
2022-06-08,13.201,20.051,16.605165
2022-06-09,11.151,19.001,15.415584
2022-06-10,12.951,20.901,17.603083
2022-06-11,13.701,22.751,18.5135
2022-06-12,9.801,21.501,15.74475
2022-06-13,10.351,21.151,16.196833
2022-06-14,11.000999,24.751,18.5385
2022-06-15,13.601,28.151,21.3135
2022-06-16,13.500999,29.001,21.965584
2022-06-17,16.101,32.201,25.140581
2022-06-18,18.201,36.001003,27.825998
2022-06-19,15.000999,24.401,18.936419
2022-06-20,14.201,22.401,17.751001
2022-06-21,13.701,23.851,18.521833
2022-06-22,15.301,26.001,20.6135
2022-06-23,17.601,25.801,21.26975
2022-06-24,16.151001,23.151,19.298918
2022-06-25,13.601,17.651,15.890584
2022-06-26,10.551,21.501,16.565582
2022-06-27,12.401,21.351,16.740583
2022-06-28,10.301,24.001,17.901001
2022-06-29,11.000999,23.801,17.548916
2022-06-30,10.851,18.551,14.340585
2022-07-01,9.801,20.401,15.78225
2022-07-02,10.250999,24.801,18.055166
2022-07-03,11.750999,21.951,16.861416
2022-07-04,10.750999,23.101,17.021833
2022-07-05,11.201,23.201,17.253084
2022-07-06,10.951,24.101,18.248917
2022-07-07,14.201,22.101,18.165585
2022-07-08,11.151,26.501,19.321835
2022-07-09,13.601,27.851,20.871836
2022-07-10,13.601,26.601,20.940582
2022-07-11,15.851,30.151,23.6885
2022-07-12,17.601,32.251,25.490583
2022-07-13,18.101,34.401,26.401
2022-07-14,17.801,28.351,22.863503
2022-07-15,14.750999,26.151,20.696833
2022-07-16,12.951,28.501,21.909332
2022-07-17,16.201,31.651,24.467667
2022-07-18,19.151,38.351,29.365583
2022-07-19,23.451,39.401,30.113497
2022-07-20,18.351,24.301,21.09267
2022-07-21,16.001,25.401,20.9385
2022-07-22,17.151,24.901,20.871836
2022-07-23,16.551,23.951,20.236418
2022-07-24,16.601,30.851,24.209333
2022-07-25,17.451,25.701,20.9885
2022-07-26,15.151,21.851,18.526001
2022-07-27,12.401,23.751,19.017668
2022-07-28,14.500999,25.901,20.313501
2022-07-29,14.801,28.701,22.186415
2022-07-30,16.251,29.401,22.523916
2022-07-31,16.151001,27.801,21.461416
2022-08-01,18.701,27.001,22.126
2022-08-02,14.750999,29.551,22.642668
2022-08-03,17.751,34.151,25.890581
2022-08-04,18.251,26.251,21.398918
2022-08-05,14.951,24.501,19.319752
2022-08-06,12.051,24.051,18.6135
2022-08-07,13.651,26.001,20.19475
2022-08-08,13.901,27.851,21.365585
2022-08-09,15.551,29.651,23.103086
2022-08-10,17.651,32.201,25.317667
2022-08-11,18.301,32.301003,25.617668
2022-08-12,17.551,33.101,25.676
2022-08-13,16.901,32.401,25.21975
2022-08-14,18.201,27.451,21.676
2022-08-15,16.551,27.151,20.792665
2022-08-16,17.601,24.401,20.3635
2022-08-17,15.651,24.001,19.75308
2022-08-18,14.651,25.901,19.930166
2022-08-19,14.401,24.301,19.555166
2022-08-20,12.601,23.251,18.117668
2022-08-21,12.401,25.201,18.723917
2022-08-22,14.651,25.151,20.584333
2022-08-23,17.201,27.101,22.048918
2022-08-24,17.001,31.451,24.188501
2022-08-25,17.801,28.451,21.765587
2022-08-26,15.451,25.301,20.301
2022-08-27,13.801,25.051,19.29475
2022-08-28,14.000999,24.651,19.851
2022-08-29,16.501,27.651,21.773918
2022-08-30,16.251,27.901,21.513498
2022-08-31,14.651,26.751,20.734335
2022-09-01,14.201,27.401,20.530167
